transaction_id,amount,txn_date,duplicate_flag,settled_amount,settlement_date,status
TXN1,3710.77,2026-01-24 12:00:24,False,3710.77,2026-01-26 12:00:24,Matched
TXN2,1392.44,2026-03-10 12:01:10,False,1392.44,2026-03-12 12:01:10,Matched
TXN3,2354.0,2026-05-07 09:19:32,False,2354.0,2026-05-09 09:19:32,Matched
TXN4,1393.77,2026-05-13 20:54:31,False,1393.77,2026-05-15 20:54:31,Matched
TXN5,4188.76,2026-05-20 05:23:37,False,4188.76,2026-05-21 05:23:37,Matched
TXN6,712.79,2026-03-11 10:18:01,True,712.79,2026-03-13 10:18:01,Duplicate
TXN7,896.04,2026-02-10 18:39:52,False,896.04,2026-02-11 18:39:52,Matched
TXN8,2038.23,2026-03-14 11:41:25,False,2038.23,2026-03-15 11:41:25,Matched
TXN9,3939.7,2026-01-08 11:09:49,False,3939.7,2026-01-10 11:09:49,Matched
TXN10,4575.08,2026-01-05 09:38:37,False,4575.08,2026-01-07 09:38:37,Matched
TXN11,985.85,2026-03-20 13:52:32,False,985.85,2026-03-22 13:52:32,Matched
TXN12,4306.51,2026-02-06 22:12:31,False,4306.51,2026-02-08 22:12:31,Matched
TXN13,3718.9,2026-03-09 06:10:15,False,3718.9,2026-03-11 06:10:15,Matched
TXN14,4796.73,2026-01-15 01:21:53,False,4796.73,2026-01-16 01:21:53,Matched
TXN15,3644.41,2026-04-18 03:59:24,False,3644.41,2026-04-20 03:59:24,Matched
TXN16,751.56,2026-02-24 18:00:00,False,751.56,2026-02-25 18:00:00,Matched
TXN17,3118.42,2026-03-02 03:18:53,False,3118.42,2026-03-04 03:18:53,Matched
TXN18,3944.37,2026-01-22 14:33:12,False,3944.37,2026-01-23 14:33:12,Matched
TXN19,3936.46,2026-01-07 10:07:57,False,3936.46,2026-01-09 10:07:57,Matched
TXN20,2522.07,2026-01-07 22:27:36,False,2522.07,2026-01-09 22:27:36,Matched
TXN21,4394.69,2026-01-04 12:46:25,False,4394.69,2026-01-06 12:46:25,Matched
TXN22,3277.59,2026-05-15 03:13:56,False,3277.59,2026-05-17 03:13:56,Matched
TXN23,480.36,2026-02-13 23:48:14,False,480.36,2026-02-15 23:48:14,Matched
TXN24,2729.22,2026-04-02 23:55:52,False,2729.22,2026-04-03 23:55:52,Matched
TXN25,4238.32,2026-01-06 15:48:09,False,4238.32,2026-01-08 15:48:09,Matched
TXN26,1553.37,2026-01-21 19:17:52,False,1553.37,2026-01-23 19:17:52,Matched
TXN27,3398.43,2026-03-17 00:51:00,False,3398.43,2026-03-19 00:51:00,Matched
TXN28,3884.22,2026-03-05 13:00:07,False,3884.22,2026-03-07 13:00:07,Matched
TXN29,1539.6,2026-05-16 06:25:53,False,1539.6,2026-05-17 06:25:53,Matched
TXN30,2529.16,2026-03-31 16:44:03,False,2529.16,2026-04-01 16:44:03,Matched
TXN31,4058.18,2026-01-19 20:37:07,False,4058.18,2026-01-20 20:37:07,Matched
TXN32,4273.63,2026-03-15 04:38:35,False,4273.63,2026-03-16 04:38:35,Matched
TXN33,2245.1,2026-02-15 20:51:27,False,2245.1,2026-02-17 20:51:27,Matched
TXN34,3403.42,2026-02-10 17:36:37,False,3403.42,2026-02-12 17:36:37,Matched
TXN35,213.31,2026-04-05 18:12:41,False,213.31,2026-04-07 18:12:41,Matched
TXN36,1490.42,2026-01-20 00:09:25,False,1490.42,2026-01-22 00:09:25,Matched
TXN37,2931.14,2026-03-29 17:14:58,False,2931.14,2026-03-31 17:14:58,Matched
TXN38,1031.85,2026-03-13 15:43:52,False,1031.85,2026-03-15 15:43:52,Matched
TXN39,4430.47,2026-05-16 01:02:17,False,4430.47,2026-05-18 01:02:17,Matched
TXN40,1370.52,2026-05-13 01:47:58,False,1370.52,2026-05-14 01:47:58,Matched
TXN41,2887.64,2026-04-20 21:29:50,False,2887.64,2026-04-21 21:29:50,Matched
TXN42,1439.55,2026-04-18 09:06:32,False,1439.55,2026-04-19 09:06:32,Matched
TXN43,219.45,2026-01-21 16:27:52,False,219.45,2026-01-22 16:27:52,Matched
TXN44,548.5,2026-01-16 22:57:52,False,548.5,2026-01-17 22:57:52,Matched
TXN45,2044.1,2026-04-20 01:28:43,False,2044.1,2026-04-21 01:28:43,Matched
TXN46,4166.35,2026-03-08 06:53:37,False,4166.35,2026-03-09 06:53:37,Matched
TXN47,1172.51,2026-05-18 23:55:24,False,1172.51,2026-05-20 23:55:24,Matched
TXN48,426.35,2026-03-30 07:59:17,False,426.35,2026-04-01 07:59:17,Matched
TXN49,1227.74,2026-05-19 09:33:15,False,1227.74,2026-05-20 09:33:15,Matched
TXN50,4654.53,2026-01-24 23:14:08,False,4654.53,2026-01-26 23:14:08,Matched
TXN51,832.84,2026-03-21 22:28:02,False,832.84,2026-03-22 22:28:02,Matched
TXN52,2705.25,2026-02-25 04:16:09,False,2705.25,2026-02-27 04:16:09,Matched
TXN53,4106.96,2026-01-05 21:36:20,False,4106.96,2026-01-07 21:36:20,Matched
TXN54,1838.17,2026-03-07 09:41:51,False,1838.17,2026-03-09 09:41:51,Matched
TXN55,984.78,2026-04-24 19:47:55,False,984.78,2026-04-26 19:47:55,Matched
TXN56,3733.87,2026-05-14 12:15:28,False,3733.87,2026-05-15 12:15:28,Matched
